name,organization,description_short,category,website,status,goal,proportionality,lawful_basis,standard_version,url,contact_email,lang,publiccode,source_data,methods_and_models,human_intervention,risks,provider,process_index_url,tags,source_id,begin_date,end_date,impacttoetsen,publication_category,lawful_basis_grouping,impacttoetsen_grouping,source_data_grouping,algorithm_id
Control removals,Municipality of Dongen,"The Insight module checks online relocation declarations for the municipality. Using smart checks, the module determines which declarations have no peculiarities and which give cause for further investigation.",Organisation and business operations,https://www.dongen.nl/over-deze-website,In use,"As soon as an online move is received, the Insight Module checks whether the declaration contains any anomalous properties. Are there no peculiarities? Then the move is processed automatically. Do the module checks produce a signal? Then the module makes the declaration ready for the civil servant in the Centric Burgerzaken waiting room. There, the official assesses whether additional questions or investigations are required. If the conclusion is that the declaration is in order, the official processes it. The Insight module tests the online declarations against the checks of the National Approach to Address Quality (LAA) and checks that officials will recognise from everyday practice. For example, checks for frequent movers, the purpose of use of a property, over-occupancy of an address or an address that is the subject of many removal movements.The importance of a correctly registered address goes beyond keeping the Basic Registration of Persons (BRP) in order. If a disaster occurs, for instance, you want to be able to warn everyone in the area in time. As a municipality, you also provide facilities, benefits or subsidies to residents on the basis of the address registered in the BRP. This makes correct address registration important for both residents and government. The algorithm checks various details of the citizen. If no peculiarities are found in the declaration, it can be processed without the intervention of an employee. If a particularity is found, the declaration falls into a waiting room where it is checked by an employee. The algorithm can only automatically approve a declaration. Only the official can reject a declaration.","It is possible for us as a municipality to see all applications, including those processed automatically.",Basic Registration Act,1.0,,openbaarheid@dongen.nl,nld,,Personal data.,,"The algorithm assumes a positive scenario. This means that simple declarations are processed automatically. When a peculiarity occurs, the declaration is always assessed by an official. The official then checks the declaration himself and can process or reject it. In case of rejection, it is always the official who does this and never the algorithm. ",Applications submitted for scrutiny will be checked regularly to see if the rules can be adjusted. ,Centric Netherlands BV,,,,11-2023,,,Other algorithms,,,,34561531
Civil Affairs eServices,Municipality of Dongen,"Residents of Dutch municipalities can arrange various civil affairs processes digitally. To process simple declarations automatically, the system performs various checks on the data recorded in this Basic Registration. ",Organisation and business operations,https://www.dongen.nl/over-deze-website,In use,"The importance of a correctly registered address goes beyond keeping the Basic Registration of Persons (BRP) in order. If a disaster occurs, for instance, you want to be able to warn everyone in the area in time. As a municipality, you also provide facilities, benefits or subsidies to residents on the basis of the address registered in the BRP. This makes correct address registration important for both residents and government.The algorithm checks various details of the citizen. If no peculiarities are found in the application or declaration, it can be processed without the intervention of an employee. If a peculiarity is found, however, the application/declaration falls into a waiting room where it is checked by an employee. The algorithm can only automatically approve an application/declaration.Only the official can reject an application/declaration.","Because many simple applications/declarations are processed automatically, the official is left with more time for the special and/or complicated declarations/applications the municipality receives. As a result, these can be assessed better and more accurately. As a result, the declarant/applicant is better served and fewer errors are made. This ensures better quality of the BRP.","Law on basic registration of persons
Civil Status Act",1.0,,openbaarheid@dongen.nl,nld,,"After your login with DigiD, the system queries your personal data and compares it with set condition.",,"The algorithm assumes a positive scenario. This means that simple declarations and applications are processed automatically. When a particularity occurs, the application/declaration is always assessed by an official . The official then checks the application/declaration himself and can process or reject it . In case of rejection, it is always the official who does this and never the algorithm.",Applications submitted for scrutiny will be checked regularly to see if the rules can be adjusted. ,Centric Netherlands BV,,,,11-2023,,,Other algorithms,,,,59429337
Readspeaker,Cooperation Kempen municipalities,"The pre-reading software on our website, ReadSpeaker also includes a (DNN) algorithm. ""ReadSpeaker uses next-generation Deep Neural Network (DNN) technology to structurally improve voice quality at all levels.""  ","Organisation and business operations, Public Order and Safety, Social Security",https://kempengemeenten.nl/,In use,"Support users with visual impairment. There are many people in the Netherlands who have reading difficulties and thus have problems understanding texts on websites. Think of low-literates, non-native speakers, people with a disability, poor eyesight, concentration problems, etc. On the website of the Samenwerking Kempengemeenten, you can use ReadSpeaker. This is software that can read out text, translate and explain it. Anyone can use ReadSpeaker directly. There is no need to download or install anything.",Accessibility of municipal information.,"

WCAG 2.2 A and AA

",1.0,,info@kempengemeenten.nl,nld,,Website content,"The pre-reading software on our website, ReadSpeaker also includes a (DNN) algorithm. ""ReadSpeaker uses next-generation Deep Neural Network (DNN) technology to structurally improve voice quality at all levels.""",Not applicable.,Not applicable,Readspeaker,,,,,,,Other algorithms,,,,96174135
Risk model sales decline NOW,Ministry of Social Affairs and Employment,"The risk model (the algorithm) helps choose which NOW applications to investigate further. It gives clues as to whether the information given in the NOW application is correct. With these indications from the risk model, SZW reviews the application.",Work,,In use,"The purpose of this algorithm (the risk model) is to support the Ministry of SZW in choosing which NOW applications should be further investigated for the accuracy of the declared turnover loss.  The risk model compares information provided by the applicant in the NOW application with information from public sources and with information from other government organisations. A very large number of NOW applications have been submitted. By using the risk model, choices can be made faster. As a result, employers receive a decision as soon as possible.The impact for the vast majority of applicants is that they quickly receive a decision on their NOW application without the need for further investigation. For those applicants who do get selected, this means that partly with the help of the risk model, the stated loss of turnover will be investigated further. If a NOW application is investigated then it takes longer to make a decision than if a NOW application is not investigated.  Ultimately, the investigation may reveal a different turnover loss percentage than the applicant submitted in the NOW application. As a result, the final grant amount may differ from the grant amount the applicant expected based on the NOW application."," Advantages:  Scale; Almost half a million applications have been submitted, spread over eight different rounds. If the ministry were to check all these NOW applications, it takes a lot of time and a lot of money. By selecting NOW applications for scrutiny using the risk model, we keep costs as low as possible for everyone: for employers, but also for the government.    Efficient working method; With the deployment of the algorithm (risk model), the working method is efficiently designed. The risk model helps staff make effective and accurate choices based on objective information. As a result, the vast majority of applicants quickly receive a decision without the need for further investigation. In this way, large numbers of applications can be quickly fed back to UWV.  Standardised working method; the Ministry of SZW uses information from other public sources for the risk model. This is information from, for example, the Chamber of Commerce on the start of the business and who owns it. This objective information is used in the risk model. With this, the risk model helps staff make choices based on objective information and comparisons.  DisadvantagesThe risk model gives an indication of whether the stated turnover loss from a NOW application is correct. This indication is based on information from public sources and information from other government organisations. The model cannot take into account every unique situation that may apply to an employer. As a result, it does not always accurately reflect reality. Staff take this into account and therefore review NOW applications designated by the model at the individual level.  On the one hand, it happens that NOW applications are selected but the review does not reveal any inaccuracies. For these applicants, there is a longer processing time and an additional administrative burden. This is because the applicant has to prove that the information given in the NOW application is correct using data from records. On the other hand, not all possible risks are included in the risk model. This may result in incorrect NOW applications not being examined.  ","Temporary emergency measure bridging for job retention (first, second, third, fourth, fifth, sixth)",1.0,,https://www.uitvoeringvanbeleidszw.nl/contact   ,nld,,"Stated information from NOW applications, information from other government sources (including the Tax Office, Central Bureau of Statistics and the Chamber of Commerce) and information from NOW applications from other NOW tranches (if an employer submitted more than one NOW application).","The risk model uses insights from historical data and predictions/estimates of a situation. In doing so, it uses functions that connect, rank, categorise and add relevant information. The risk model supports and advises through analyses and comparisons of, on the one hand, specified information in NOW applications and, on the other hand, information from public sources and data from government agencies. It supports and advises staff in the NOW application selection process to check the accuracy of the NOW application.",The risk model supports staff in the selection process so that they can make informed and efficient choices. The advice from the risk model is not necessarily decisive and the final selections are always based on human intervention by staff based on the four-eye principle. The selection process and the selected files are monitored by multi-level checks. The risk model has been evaluated several times in recent years and adjusted where necessary.,The risk model has been reviewed and adjusted several times in recent years based on newly gained insights from the results of completed studies or on new objective information from other government organisations. ,Internally developed,,"NOW, corona, emergency measure, employment, SSW, UWV",,10-2020,,,Impactful algorithms,,,,42117256
Anonymise,Municipality of Westerkwartier,Identifying and anonymising privacy-sensitive information in information objects (in many cases documents).,Organisation and business operations,,In use,The purpose of the algorithm is to anonymise privacy-sensitive information in information objects. This protects personal information and preserves the privacy of individuals.,"The algorithm is trained to recognise privacy-sensitive information, but is limited to classification and will therefore never reveal substantive information. Moreover, the technology helps improve the quality of anonymisation.","Open Government Act
Electronic Publications Act",1.0,,algoritmeregister@westerkwartier.nl,nld,,Spatial plans and internal documents.,Deep learning models that determine in both visual and textual ways what information is considered privacy-sensitive.,"The algorithm results only act as a tool, with human intervention always needed for final anonymisation.","To safeguard the algorithm's privacy risks, it undergoes constant evaluation and updates to address new threats and privacy challenges. Human oversight and intervention are embedded to correct errors. Moreover, there is continuous dialogue with stakeholders.",eData B.V.,,,,2022-11,,,Impactful algorithms,"1: Wet open overheid (WOO), https://wetten.overheid.nl/BWBR0045754/. 2: Wet elektronische publicaties (WEP), https://wetten.overheid.nl/BWBR0043961/",,"1: Ruimtelijke plannen en interne documenten, https://www.ruimtelijkeplannen.nl/home",25292392
Civil affairs: eServices,Municipality of Tubbergen,"Residents of Dutch municipalities can digitally arrange various civil affairs processes with the municipality. To process simple declarations automatically, the system performs various checks on the person's list, address and attached data.",Organisation and business operations,,In use,"The importance of a correctly registered address goes beyond keeping the Basic Registration of Persons (BRP) in order. If a disaster occurs, for instance, you want to be able to warn everyone in the area in time. As a municipality, you also provide facilities, benefits or subsidies to residents on the basis of the address registered in the BRP. This makes correct address registration important for both residents and government. The algorithm checks various details of the citizen. If no peculiarities are found in the application or declaration, it can be processed without the intervention of an employee. If it does find any peculiarity, the application/declaration falls into a waiting room where it is checked by an employee. The algorithm can only automatically approve an application/declaration. Only the official can reject an application/declaration.","Because many simple applications/declarations are processed automatically, the official is left with more time for the special and/or complicated declarations/applications the municipality receives. As a result, these can be assessed better and more accurately. As a result, the declarant/applicant is better served and fewer errors are made. This ensures better quality of the BRP.","Law on basic registration of persons
Civil Status Act",1.0,,info@tubbergen.nl,nld,,"data on persons who have died, who are moving, who are missing a passport, who need a brp or civil status extract. ",Decision trees,"The algorithm assumes a positive scenario. This means that simple declarations and applications are processed automatically. When a peculiarity occurs, the application/declaration is always assessed by an official. The official then checks the application/declaration himself and can process or reject it. In case of rejection, it is always the official who does this and never the algorithm.",The municipality does not allow automated processing of applications/declarations. All applications are placed in a waiting room so that a process employee can check and follow up.,Centric Netherlands BV,,,,2019-5,,,Impactful algorithms,"1: Wet basisregistratie personen, https://wetten.overheid.nl/BWBR0033715/2023-01-01. 2: Wet rechten burgerlijke stand, https://wetten.overheid.nl/BWBR0001851/2019-02-16",,,76728280
Civil affairs: eServices,Municipality of Dinkelland,"Residents of Dutch municipalities can digitally arrange various civil affairs processes with the municipality. To process simple declarations automatically, the system performs various checks on the person's list, address and attached data.",Organisation and business operations,,In use,"The importance of a correctly registered address goes beyond keeping the Basic Registration of Persons (BRP) in order. If a disaster occurs, for instance, you want to be able to warn everyone in the area in time. As a municipality, you also provide facilities, benefits or subsidies to residents on the basis of the address registered in the BRP. This makes correct address registration important for both residents and government. The algorithm checks various details of the citizen. If no peculiarities are found in the application or declaration, it can be processed without the intervention of an employee. If it does find any peculiarity, the application/declaration falls into a waiting room where it is checked by an employee. The algorithm can only automatically approve an application/declaration. Only the official can reject an application/declaration.","Because many simple applications/declarations are processed automatically, the official is left with more time for the special and/or complicated declarations/applications the municipality receives. As a result, these can be assessed better and more accurately. As a result, the declarant/applicant is better served and fewer errors are made. This ensures better quality of the BRP.","Law on basic registration of persons
Civil Status Act",1.0,,info@dinkelland.nl,nld,,"data on persons who have died, who are moving, who are missing a passport, who need a brp or civil status extract. ",Decision trees,"The algorithm assumes a positive scenario. This means that simple declarations and applications are processed automatically. When a peculiarity occurs, the application/declaration is always assessed by an official. The official then checks the application/declaration himself and can process or reject it. In case of rejection, it is always the official who does this and never the algorithm.",The municipality does not allow automated processing of applications/declarations. All applications are placed in a waiting room so that a process employee can check and follow up.,Centric Netherlands BV,,,,2019-5,,,Impactful algorithms,"1: Wet basisregistratie personen, https://wetten.overheid.nl/BWBR0033715/2023-01-01. 2: Wet rechten burgerlijke stand, https://wetten.overheid.nl/BWBR0001851/2019-02-16",,,47423581
Anonymisation tool,Environmental Protection Agency Rijnmond,Recognising and anonymising privacy-sensitive information in documents,"Nature and Environment, Space and Infrastructure",,In use,The anonymisation tool is used to give substance to transparency on the one hand and the necessary protection of individuals and companies to whom documents relate on the other. The impact of the algorithm on citizens and companies is low. The algorithm searches specifically for (personal) data and masks them regardless of the further content of documents.,Using the anonymisation tool speeds up and simplifies the process for active and passive disclosure. Automated anonymisation is also less error-prone than human intervention. This reduces the risk of a data breach and better protects citizens' and companies' data.,"Environmental Law (General Provisions) Act (Wabo) , General Administrative Law Act (AWB), Notification Act, Open Government Act (WOO) , Electronic Publications Act (WEP)",1.0,,https://www.dcmr.nl/contactformulier,nld,,Value lists are used: which data should not be visible and which data should be visible. ,"The anonymisation tool works with Natural Language Processing (NLP).NLP is a part of Artificial Intelligence (AI) where language and artificial intelligence come together. For example, texts can be classified by recognising what the subject of the sentence is or what a verb or name is, for example. Through AI, the software recognises more and more terms.",The anonymisations proposed by the anonymisation tool are approved or disapproved by an employee in all cases when it comes to decisions to be formally published and also when it comes to WOO requests. Random checks are carried out for soil reports to be anonymised.,"An extensive testing process took place before the tool went live. New versions are tested before going live.
To mitigate the risk that documents are insufficiently anonymised, human verification takes place, depending on the type of document randomly or a full check.  ",OCTOBOX Netherlands B.V.,,"Anonymising, deleting",,12-2020,,,Other algorithms,,,,13714231
Heathgrass Monitor,Province of Friesland,The algorithm is deployed annually in heathlands to determine the extent of grassing. This grassing is a good indicator of the state of the heathlands by giving insight into the presence of invasive crops.,Nature and Environment,,In development,"Through more efficient and frequent monitoring of nature, in this particular case heathland, more targeted determination of source and effect measures.","By more frequent monitoring of the degree of grassing, we are able to carry out nature management better. In addition, more frequent monitoring allows for better cause-effect assessments. ",,1.0,,provincie@fryslan.frl,nld,,Habitat type mappings and Sentinel 2 image files.,"Using label data (mappings) and satellite images, the LSTM algorithm learned to predict the extent to which a class of a particular vegetation occurs at new times and unseen patches of land.","The system is descriptive, with human intervention always applicable for making further analyses or decisions.",Integral part of the Z-Inspection.,Ilionx,,,,06-2021,,,Other algorithms,,1: Z-Inspection ,,85175538
Legal facts KIK 2nd part,Land Registry,This algorithm recognises registrable legal facts in the 2nd part of KIK deeds.,"Living, Space and Infrastructure",,In use,"With this algorithm, we aim to be able to process deeds as quickly and correctly as possible. It helps us work efficiently and improve the quality of deed processing.",Legal facts KIK 2nd part has no negative impact on society. The process is designed so that legal certainty is not diminished and probably even improved.,"Under Section 3(1a) of the Land Registry Act, it is our statutory duty to manage and update the Basic Land Registry. That is where this algorithm helps.",1.0,https://www.kadaster.nl/over-ons/beleid/algoritmeregister/rechtsfeiten-kik-2edeel,https://formulieren.kadaster.nl/contact_kadaster_algoritmeregister,nld,,"We test the ruleset on a test set of 83,414 deeds. This training set is static and is not refreshed. This means that no new texts are added.",We use a set of rules (regular expressions). These help recognise registrable facts. The custodian has checked and approved them.,"Human on the loop. This algorithm is used in an automated process. There is no direct, manual checking. We check through a 2% sample.",This algorithm has minimal risk.,Internally developed,,,,,,,Other algorithms,,,,48553344
Act AI,Land Registry,Deed AI ensures that data from notarial deeds is automatically transferred. The employee processing the deed only has to check the data and adjust it if necessary.,"Living, Space and Infrastructure",,In use,"With Deed AI, we want to be able to process deeds as quickly and correctly as possible. It helps us work efficiently and improve the quality of deed processing.",Act AI has no negative impact on society. The process is designed so that legal certainty is not diminished and probably even improved.,"Under Section 3(1a) of the Land Registry Act, it is our statutory duty to manage and update the Basic Land Registry. That is where Act AI helps.",1.0,https://www.kadaster.nl/over-ons/beleid/algoritmeregister/akte-ai,https://formulieren.kadaster.nl/contact_kadaster_algoritmeregister,nld,,"For recognising personal data, we use ""bert-base-dutch-cased-finetuned-sonar-ner"". This is an open source language model from the University of Groningen.For recognising other data, we use models we have trained ourselves. And algorithms we have developed ourselves.For recognising personal data, we use ""bert-base-dutch-cased-finetuned-sonar-ner"". This is an open source language model from the University of Groningen.For recognising the other data, we use models we have trained ourselves. And algorithms we have developed ourselves. About the training sets The training sets consist of actuals. These are currently still static and vary in size: from a few hundred to several tens of thousands of texts per set. Furthermore, we are working on a feedback loop. With this, it will no longer be a static set: every month, 8.33% will be refreshed. Texts will disappear and new action texts will replace them.","
Named Entity Recognition of personal names with Hugging Face Transformers
Named Entity Recognition of organisation name, address and legal form with the spaCy framework
Dependency Parsing of persons, organisations, real estate, notaries, legal facts and signature with the spaCy framework
Named Entity Recognition of property description with the spaCy framework
Named Entity Recognition for splitting personal names into first name, middle name and surname with the spaCy framework
Named Entity Recognition for splitting an address into street, house number, house letter, and addition with the spaCy framework
Classification of deed type with the spaCy framework
The self-developed algorithms use, among others: 

regular expressions
spaCy pattern matchersNamed Entity Recognition of personal names with Hugging Face Transformers


","Human in the loop. The Act AI makes a suggestion to the employee processing the data. So there is always an employee, who evaluates the suggestion.",Minimal risk,,,,,,,,Other algorithms,,,,58455861
Loki,Land Registry,How does a chatbot help make information from cadastral data sources accessible to citizens? That's what we investigated with Loki.,"Space and Infrastructure, Work, Living",https://labs.kadaster.nl/cases/loki,In development,"With Loki, we want to show the demonstrated value of a chatbot in retrieving information from our data.","Virtual assistants such as Siri, Alexa and the Google Assistant are becoming increasingly popular. In these, the user speaks a question or the question is not typed in. We are also developing the Kadaster Knowledge Graph. This creates all kinds of new insights about how we should present data in the future. We want to investigate how best to present data.","Section 2a subsection c of the Land Registry Act states: 'an efficient provision of information to the government for the proper performance of public law duties and the fulfilment of statutory obligations by administrative bodies'. 
In short, we want to make our information available to the widest possible audience. So also to citizens.",1.0,,https://formulieren.kadaster.nl/contact_kadaster_algoritmeregister,nld,,"Loki uses public data in the BAG, BRK (Cadastral Map), BRT and WOZ.","

chatbot framework Rasa
Microsoft Azure's speech-to-text API 
Knowledge graph for connecting data from different registries and SPARQL endpoints.

",,minimal risk,,,,,,,,Other algorithms,,,,48536774
Transfer,Land Registry,"Land development brings together the wishes and interests of many parties, such as farmers, nature management organisations and governments. Based on all these wishes and interests, Transfer gives the best possible solution to redesign an area.",Nature and Environment,,In use,Transfer helps solve complex land planning issues.,"With Transfer, we can address a complex issue objectively.",This is in the implementation phase the Willow. Read more on the Parcel with the Willow page .,1.0,,https://formulieren.kadaster.nl/contact_kadaster_algoritmeregister,nld,,"The data comes from right-holders (according to the Land Registry, but also tenants, for example). Furthermore, we use: maps and the wishes and policy intentions of stakeholders.","The models were developed based on studies by TU Delft. It is an optimisation algorithm. This means that the best option is chosen from all possible solutions. This involves a limited set of options. Transfer therefore does not create new options, but seeks the best from existing ones.",Human in the loop. Transfer is a tool to get to the final solution. ,Minimal risk,,,,,,,,Other algorithms,,,,25625149
Cadastral map next,Land Registry,"Using artificial intelligence, we rebuild the cadastral map. For this, we use scans of original historical fieldworks.","Space and Infrastructure, Work, Living",,In use,"The Cadastral map next is an improved Cadastral map. This map shows the boundaries as much as possible as they are in reality. We use the original measurement data, i.e. old fieldwork. We also use algorithms and artificial intelligence. This allows us to automate the process. That way we save costs and provide a more accurate Cadastral map: the Cadastral map next.",,"Section 74 Land Registry Act states that the Land Registry may investigate whether data from the basic land registry are correct and complete. Article 23 Land Registry Decree states that a renewal survey may be carried out if data is found to be insufficiently correct and complete. Thus, there is no legal basis or foundation for the Cadastral Map Next yet. That is why we want to amend Article 23. This will allow us to go one step further and renew the Cadastral Map.",1.0,,https://formulieren.kadaster.nl/contact_kadaster_algoritmeregister,nld,,"We have used a set of field works that is characteristic of our archive. That set consists of different regions and time periods. Then there is a set for OCR: converting handwritten texts into information that the computer can read. This set consists of about 200,000 field works. The end-to-end set for line and object detection consists of 3,000 fieldworks.","The algorithm uses separate neural networks for OCR, line detection and object detection: * for OCR, we use an NN, which consists of CNN and RNN layers * line detection is done based on a modified UNET * object detection is done with a MaskRCNN based on the SWIN transformer architecture These models are trained based on fieldwork (components) and annotations. Annotations are notes with a comment or explanation. We split the available dataset into train, validation and test sets. We augment the train data during training to create a versatile train set. During training, we determine the F-score on the validation set after each iteration. As soon as the performance on the validation set no longer improves, we stop training. Then we determine the F-score on the test-set. Is this F-score better than previous training sessions? Then we use the weights of the neural network for prediction.",Human on the loop. This means that AI is applied in an automatic process. Are there any deviations? Then humans check the result and adjust it if necessary.,Minimal risk,,,,,,,,Other algorithms,,,,19331472
Supervision model Skal Biocontrol,Skal Biocontrol Foundation,"To carry out its supervision, Skal divides organic operators into supervision arrangements. The supervision arrangement determines how often the operator is inspected and what rate an operator pays. The allocation of operators to the supervision arrangements high, normal and low is done on the basis of the Skal supervision model.","Organisation and business operations, Nature and Environment, International",https://www.skal.nl/toezichtarrangementen,In use,"Supervisory arrangementsFrom 2021, Skal will operate on the basis of five supervisory arrangements:1. High-risk companies2. Normal risk companies3. Low-risk companies4. Sales to consumers and5. Non-notified businesses.The supervision arrangement determines, among other things, the frequency of inspections and pricing.The classification of operators over the supervisory arrangements High, Normal and Low is based on the calculation of a risk profile by the Skal supervisory model. Sales to consumers are not included in the supervision model, these operators fall under their own Supervision Arrangement and are therefore not classified in Low, Normal or High.Supervisory Arrangement HighThe implementing regulation (Reg. (EU) 2021/279, Article 7(b)) stipulates that at least 10% of operators must receive an additional/second physical inspection per year. The associated costs are for the operator. On the basis of the supervision model, Skal determines the risk profile per operator and which 10% of the operators fall under High Supervision. This is redefined annually. Supervision category NormalMost operators fall under the Normal Supervision Arrangement. These companies are inspected annually by Skal. In addition to this full inspection, Skal may carry out unannounced inspections or take a sample of a parcel or product.Supervision arrangement LowCompanies in the Supervision Arrangement Low are inspected once every two years. Companies that meet the criteria below are assigned to the Supervision Arrangement Low:a.   Turnover is less than €1,000,000b.   The company is fully organic.c.   No critical and/or serious deviations have been identified over the past 3 years.d.   The company has been registered with Skal for more than 5 yearsSkal supervisory modelThe Skal supervision model and the calculation of the risk profile is based on the parameters mentioned in the Organic Regulation (Regulation (EU) 2018/848, Article 38(2) and (3)). In the Skal supervision model, a certain number of points (based on risk) are assigned for the components below:a.   Organic turnoverb.   Types of biological activitiesc.   Biological and non-biological activitiesd.   Number and type of deviations detected in the last 2 years (for High) or 3 years (for Low)e.   Registration duration at Skal Biocontrolf.    Number of organic products on the certificateg.   Exemptions received","The way Skal has designed the supervision model for the High, Normal and Low categories is based on the requirements of OCR 2017/625 and the European Organic Regulation (EU) 2018/848. The risk factors used by Skal in the supervision model are prescribed in Regulation (EU) 2018/848, Article 38(2) for the risk model. The weighting of the criteria is determined by Skal.","Regulation (EU) 2018/848Article 38 Additional rules on official controls and actions to be taken by competent authorities 2. Official controls carried out in accordance with Article 9 of Regulation (EU) 2017/625 .... shall....be carried out on the basis of the likelihood of non-compliance within the meaning of Article 3(57) of this Regulation, ... in particular with the following elements:(a) the type, size and structure of operators and groups of operators;(b) how long operators and groups of operators have been engaged in organic production, preparation and distribution;(c) the results of controls carried out in accordance with this Article;(d) the time relevant to the activities carried out;(e) the categories of products;(f) the type, quantity and value of products and their development over time;(g) the possibility of mixing of products or contamination with unauthorised products or substances;(h) the application of derogations or exceptions to the rules by operators and groups of operators;(i) the critical points for non-compliance and the likelihood of non-compliance at each stage of production, preparation and distribution;(j) outsourced activities.3. In any case, all operators and groups of operators, with the exception of those referred to in Article 34(2) and Article 35(8), shall be subject to a compliance check at least once a year. 4. Official checks carried out in accordance with Article 9 of Regulation (EU) 2017/625 for the purpose of checking compliance with this Regulation shall:(b) ensure that a minimum percentage of additional checks, in addition to those referred to in paragraph 3 of this Article, are carried out;Implementing Regulation (EU) 2021/279Article 7 Minimum rates of checks and samplingThe following rules on minimum rates shall apply to the official controls referred to in Article 38(4) of Regulation (EU) 2018/848 to be carried out by each competent authority or, as appropriate, each control authority or control body according to the risk of non-compliance:(b) at least 10% additional checks each year in addition to those referred to in Article 38(3) of Regulation (EU) 2018/848;",1.0,,info@skal.nl,nld,,"For each operator, the Monitoring Model uses the data recorded by operators at Skal and recorded/verified during inspections. These are:a. Organic turnoverOrganic turnover is divided into the following categories:- € 0 - € 50.000- € 50.000 - € 250.000- € 250.000 - € 1.000.000- € 1.000.000 - € 5.000.000- € 5.0000.000 - € 15.000.000- more than € 15,000,000b. Types of biological activitiesThis is based on the activities the company has registered with Skal. Activities can only be registered if they have been registered after notification through a successfully completed admission examination.Activities are grouped into the following general groups:- Agriculture- Aquaculture- Preparation- Trade- Imports- Otherc. Organic and non-organic activitiesAn inspection establishes whether the operator carries out both organic and non-organic activities at the certified site.d. Number and type of non-conformities identified over the past 2 or 3 yearsAll deviations identified during inspections over the past years are counted in the supervision model. For classification in Supervisory Grade High, the past 2 years are considered. For the Supervisory Grade Low, deviations from the past 3 years are included.Different deviations can be found during inspections.- Slight deviation (Non compliance-C)- Serious deviation (Non compliance-B)- Critical deviation (Non compliance-A)e. Registration duration at Skal BiocontroleThis is counted from the date of registration with Skal.f. Number of organic products on the organic certificateThis is determined on the basis of the number of product specifications the operator has registered with Skalg. Exemptions receivedTemporary exemptions can be applied for certain organic criteria. The operator itself applies for these exemptions to Skal and Skal records the number of exemptions issued per operator.",,"The risk profiles are calculated by the supervisory model on 1 October of the current year.Then the results are first randomly checked by Skal staff. Are the rules of the model properly applied. Skal applies the rule that companies can only change one level per year, i.e. an operator cannot change from the supervisory status Low to High the following year.Around 1 December of the current year, the classification into High, Normal and Low for the coming year is communicated to the operators by e-mail.Operators classified in supervisory arrangement High are hereby sent the calculated scores.If an operator does not agree with this score or classification, the operator can object within 6 weeks. ","The supervision arrangements are implemented by 2021. Based on feedback from stakeholders, the supervision model is further optimised annually. Randomness and discrimination are prevented by working with equal values for all operators and communicating this transparently. The 'supervision model' algorithm is only filled with data known to the operator. The responsibility for ensuring that the correct data are registered with Skal lies with the operator. A lot of data obtained and recorded during a Skal inspection is used in the supervision model.Operators are informed annually about the structure of the supervision model and how operators can check and adjust their data. Based on the calculated supervision model, the risk classification for the coming year is determined again.",The supervision model was developed internally (within Skal).,,,,2021-01,,,Impactful algorithms,,,,74823752
Anonymise,Municipality of Huizen,Identifying and anonymising privacy-sensitive information in information objects (in many cases documents).,Organisation and business operations,Wet open overheid (Woo) | Gemeente Huizen,In use,The purpose of the algorithm is to anonymise privacy-sensitive information in information objects. This protects personal information and preserves the privacy of individuals.,"The algorithm is trained to recognise privacy-sensitive information, but is limited to classification and will therefore never reveal substantive information. Moreover, the technology helps improve the quality of anonymisation.","Open Government Act
Electronic Publications Act",1.0,,gemeente@huizen.nl,nld,,Spatial plans and internal documents.,Deep learning models that determine in both visual and textual ways what information is considered privacy-sensitive.,"The algorithm results only act as a tool, with human intervention always needed for final anonymisation.","To safeguard the privacy risks of the algorithm, it undergoes constant evaluation and updates to address new threats and privacy challenges. Human oversight and intervention are embedded to correct errors. Moreover, there is continuous dialogue with stakeholders.",eData B.V.,,"black lacquer, lacquer tool",,2022-10,,,Other algorithms,"1: Wet open overheid (WOO), https://wetten.overheid.nl/BWBR0045754/. 2: Wet elektronische publicaties (WEP), https://wetten.overheid.nl/BWBR0043961/",,"1: Ruimtelijke plannen en interne documenten, https://www.ruimtelijkeplannen.nl/home",19155975
Anonymise,Regional Environment Agency Middle Holland,Black lacquering of e.g. personally sensitive information in documents.,Organisation and business operations,,In use,"The environment service would like to be transparent to its environment but also needs to comply with privacy legislation, among other things. The deployment of anonymisation software makes this possible by supporting employees in anonymising documents.",The anonymisation software supports employees to perform high-quality anonymisation quickly.,General Data Protection Regulation (AVG) and the Open Government Act (Woo),1.0,,info@odmh.nl,nld,,"personal data, e.g. mail address, address details or signature","Smart features, such as set rules or templates, make it possible to anonymise per document or as a bulk. In this way, you can also set the method and degree of anonymisation of commonly used (standard) documents. The software then uses pattern recognition and Natural Language Processing to search for names, addresses, dates of birth, specific set words, signatures or regular expressions (such as e-mail, IBAN, BSN). The DataMask software recognises these and makes suggestions to mask or anonymise them fully automatically.",The DataMask software makes a proposal to the employee. The employee decides whether a piece of data should be anonymised or not.,Fully automated anonymisation is considered too great a risk by ODMH. A solution was therefore chosen that speeds up the process but leaves the final decision with a human.,Datamask,,"anonymise, datamask, avg, woo",,01-2023,,,Other algorithms,,,,42492199
