name,goals_score,goals_justification,logic_score,logic_justification,limitations_score,limitations_justification
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, including the use of a natural language processing algorithm and proprietary AI models, and the involvement of human checks.",2,"The limitations are explicitly described, including the risk of improper employee checks, privacy risks associated with using Azure, and measures taken to mitigate these risks."
Prevention & enforcement: SWAN algorithm,2,"The goal is specific and contextualized, aiming to identify and adjust situations where customers may be receiving too much state pension, thus saving money on benefits and ensuring efficient use of supervisors.",2,"The system's operation is clearly explained, with a regression model trained on historical data of pension irregularities to assign risk scores to customers, indicating the likelihood of a single person cohabiting.",1,"The entry mentions compliance testing and a three-line defense model for risk management, but does not explicitly describe known risks, data biases, or contexts of inaccuracy."
Adoption of settlement decision,2,"The goal is specific and contextualized, outlining the purpose of the algorithm in supporting tax administration by offsetting amounts owed against outstanding tax debts, and detailing the rule-based nature of the algorithm.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing the steps the algorithm takes in assessing and offsetting credits and debts.",2,"The risks section explicitly describes the measures taken to prevent bias and ensure data protection, as well as the legal and policy frameworks that guide the development and application of the algorithm."
Sanctions,1,"The goal is generally stated as helping with difficult decisions and treating everyone the same, but lacks a specific context or policy objective.",2,"The system uses decision trees and considers various factors such as the amount overpaid, duration of overpayment, and report dates, providing a clear explanation of the inputs, process, and model type.",1,"The risks section mentions a three-line defence model and various departments involved in quality and risk management, but does not specify any limitations or risks of the algorithm itself."
Voluntary insurance AOW and Anw,1,"The goal mentions the purpose of the algorithm in a general context, i.e., to process fewer customer files by hand, save costs, and help citizens sooner, but it does not specify a clear policy objective.",2,"The logic of the algorithm is clearly explained, including the use of decision trees, the process of how living outside the Netherlands affects tax and insurance, and how the algorithm calculates the level of contribution based on income.",1,"The risks section mentions the three-lines-of-defence model and various departments involved in managing risks, but it does not specify any particular risks or limitations of the algorithm itself."
Assessment of state pension provision,1,"The goal is stated as processing fewer files by hand and saving money, but it lacks a specific policy objective or context.",1,"The method is mentioned as decision trees based on the general old age pensions act, but there is no clear explanation of inputs or full process description.",2,"The risks are explicitly described as the three-lines-of-defence model, with detailed explanation of each line's role in managing continuity risks, quality, and performance controls."
AIO supplement,2,"The goal is specific and contextualized, stating that the algorithm is used to process customer files, save costs, and allow staff to focus on customization.",2,"The logic is clearly explained, mentioning the use of decision trees, the data used, and the role of employees in the process.",1,"The risks are mentioned in terms of the organization's structure and processes, but the specific risks or limitations of the algorithm itself are not explicitly described."
Child benefit,2,"The goal is specific and contextualized, stating that the algorithm is used to process fewer customer files manually, save costs, focus on customization, and speed up service for citizens.",2,"The logic is clearly explained, mentioning the use of decision trees, the input data from the municipality, and the process of determining whether to send a child benefit application form.",1,"The risks are mentioned in terms of the organization's three-lines-of-defence model, but the specific risks or limitations of the algorithm itself are not explicitly described."
Risk equalisation,2,"The goal is specific and contextualized, aiming to ensure fair competition between health insurers by compensating for differences in health risk profiles of their insured populations.",0,"The methods and models field does not provide any explanation of how the system works, instead it references an official gazette.",0,No risks or limitations are mentioned in the provided text.
Checking grant applicants,2,"The goal is specific and contextualized, aiming to ensure legitimate use of public funds and prevent misuse by auditing grant applicants.",2,"The process is clearly explained, with the data analyst using a code to check the grant applicant's chamber of commerce number against the m&o register and the bankruptcy register.",2,"The risk of outdated data in the m&o register and the bankruptcy register is explicitly mentioned, along with a preventive measure."
Anonymise,2,"The goal is specific and contextualized, stating that the algorithm is used to anonymise privacy-sensitive information in documents to protect personal information and preserve privacy.",1,"The method is mentioned as neural network models that determine privacy-sensitive information in both visual and textual ways, but the full process description is not provided.",1,"The risks are mentioned as being monitored and addressed through updates and employee oversight, but the specific nature or context of these risks is not detailed."
Customer signals,1,"The goal is stated as a general purpose of improving group-wide services, products, and processes without a specific context or policy objective.",2,"The methods and models field provides a clear explanation of the inputs, process, and model type, including the use of a text mining algorithm for topic modelling and the sources of input data.",0,"The risks field is blank, so no limitations or risks are mentioned."
BRP API Persons,2,"The goal is specific and contextualized, outlining the purpose of the algorithm to provide targeted information to organisations using the BRP, achieving data minimisation, preventing errors, increasing transparency, and saving costs.",2,"The methods and models section provides a clear explanation of the inputs and process, detailing how the API can be used through different inputs and how authority relations are inferred based on derivation rules.",2,"The risks section explicitly describes known risks such as errors in processing, difficulty in verification and correction, repeating errors, changing calculation rules without following procedures, fragmented assessment of effects, and automated decision-making without human intervention, and how these risks are mitigated."
The information query Name usage in the BRP API Persons,2,"The goal is specific and contextualized, outlining the purpose of the algorithm to provide targeted information to organisations using the BRP, achieving data minimisation, preventing errors, increasing transparency, and saving costs.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how the name is composed based on gender and the value of designation name use.",2,"The risks section explicitly describes known risks, such as errors in processing, difficulty in verification and correction, repeating errors, changing calculation rules without following procedures, fragmented assessment of effects, and automated decision-making without human intervention, and how these risks are mitigated."
BRP API Occupancy,2,"The goal of the algorithm is clearly stated with specific context and policy objectives, including data minimisation, error prevention, transparency enhancement, and cost savings.",1,"The methods and models field refers to a flowchart on an external page, which indicates some form of process but does not provide a clear explanation of inputs, process, and model type within the text itself.",2,"The risks field explicitly describes known risks and how they are mitigated, including errors in processing, difficulty in verification and correction, repeating errors, changing calculation rules, fragmented assessment of effects, and automated decision-making without human intervention."
The information request Entry in the BRP API Persons,2,"The goal is specific and contextualized, outlining the purpose of the algorithm to provide targeted information to organizations using the BRP, achieving data minimization, preventing errors, increasing transparency, and saving costs.",2,"The methods and models section provides a clear explanation of the process and rules used in the algorithm, including links to further details.",2,"The risks section explicitly describes known risks and how they are mitigated, including errors in processing, verification difficulties, repeating errors, changing calculation rules, fragmented assessment of effects, and automated decision-making without human intervention."
BRP API Persons,2,"The goal is specific and contextualized, outlining the purpose of the algorithm to provide targeted information to organisations using the BRP, achieving data minimisation, preventing errors, increasing transparency, and saving costs.",1,"The methods and models field mentions elements of the process, such as how age is determined based on the date of birth, but it does not provide a full description of the process or the type of model used.",2,"The risks field explicitly describes several potential risks and how they are mitigated, such as errors in processing, difficulty in verification and correction, repeating errors, changing calculation rules without following procedures, and automated decision-making without human intervention."
The information question Salutation in the BRP API Persons,2,"The goal of the algorithm is clearly stated with specific context and policy objectives, including data minimization, error prevention, transparency, and cost savings.",2,"The methods and models are clearly explained, detailing how the salutation of a person is composed by combining gender, initials, prefixes, and gender name.",2,"The risks are explicitly described, including errors in processing, difficulty in verification and correction, repeating errors, changing calculation rules without following procedures, fragmented assessment of effects, and automated decision-making without human intervention."
Dynamic Cable Model,2,"The goal is specific and contextualized, aiming to determine the dynamic cable load capacity to connect more customers during the energy transition.",2,"The logic is clearly explained, detailing the input data, the process of converting it into maximum cable load capacity, and the factors affecting the temperature evolution of power cables.",2,"The risks and limitations are explicitly described, including the safe limits, human intervention, logging of inputs and outputs, and audits performed on the algorithm."
Personal Impact Analysis - Intangible damage,2,"The goal is specific and contextualized, clearly stating that the PIA is used to determine the mental harm a person has suffered from earthquakes for compensation purposes.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how the PIA questionnaire is used to determine an applicant's score and subsequent compensation.",2,"The risks section explicitly describes known risks, such as the potential for the PIA to create feelings of anxiety and stress for applicants, and notes that this risk cannot be removed at this time."
Permanent Monitor Dual Registrations (PMD) Basic Registration of Persons (BRP),2,"The goal is specific and contextualized, stating the purpose of finding and resolving duplicate entries.",0,"There is no explanation of how the system works, only a mention of where to request technical documentation.",1,A risk is mentioned (wrongful removal of a brp registration) but without specifying its nature or context.
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, the use of a natural language processing algorithm and AI models, and the final manual check by a staff member.",2,"The limitations are explicitly described, including the risk of improper employee checks, the privacy risk of using Azure, and measures taken to mitigate these risks."
Identity matching in the BRP-Coupling Point,2,"The goal is specific and contextualized, explaining the process of 'identity matching' in digital government services within the Netherlands and Europe, and the need for error-free identity matching due to potential discrepancies in identity data.",2,"The methods and models provide a clear explanation of the inputs, process, and model type, detailing the steps involved in logging in with a foreign eIDAS resource, the identity matching process, and the rules used by the search engine.",1,"The risks mention the possibility of a person being linked to someone else's registration and the adaptability of the search algorithm, but do not specify the nature or context of these risks or any data biases or contexts of inaccuracy."
Zivver - Secure emailing,2,"The goal is specific and contextualized, stating that the algorithm is designed to ensure proper security measures for email information by alerting senders to sensitive information and encouraging secure sending.",2,"The logic is clearly explained, detailing the process of how the algorithm uses terms in the message and attachments to determine the similarity to previously sent emails and classify the email as potentially sensitive.",1,"The risks are mentioned, stating that the algorithm's performance is monitored and adjustments can be made if incorrect classifications occur, but it does not specify the nature or context of these potential inaccuracies."
Bodycam,2,"The goal is specific and contextualized, stating that the system is used to automatically detect faces in recorded videos to make them unrecognizable for third-party viewing.",1,"The system's process is partially explained, mentioning that it recognizes faces based on shapes and facial features, but it does not fully describe the inputs or the model type.",1,"The entry mentions a low risk due to manual processes, but it does not specify the nature or context of potential risks or limitations."
Anonymising documents,2,"The goal is specific and contextualized, stating that the software is used for anonymization to ensure transparency and protection of individuals and companies.",2,"The logic is clearly explained, detailing how the algorithm identifies personal data and confidential information, proposes anonymization, and then an employee makes the final adjustment.",0,No limitations or risks are mentioned in the entry.
Text analysis,2,"The goal is specific and contextualized, stating that the system is used to support in the review process where legal protection applies to information that is disclosed.",2,"The system's process is clearly explained, stating that texts are recognized using named entity recognition and further processed for management interface and automatic lacquer rules.",1,"The risks are mentioned, stating that there is no risk of automated decision-making and the algorithm has no impact on fundamental rights, but it does not specify any limitations or potential issues."
Anonymising documents,2,"The goal is specific and contextualized, aiming to anonymise privacy-sensitive information in documents published by the municipality to protect the privacy of citizens and organisations and prevent data leaks.",2,"The process is clearly explained, from the uploading of documents to the application, through the use of a natural language processing algorithm and proprietary AI models, to the final check by an employee.",2,"The risks are explicitly described, including the risk of employees not checking properly and the potential for data to be kept on the supplier's server for up to 30 days."
Risk-based prioritisation of data breach notifications,2,"The goal is specific and contextualized, outlining the purpose of the algorithm to prioritize data breach reports based on their severity and risk of harm to victims.",2,"The logic is clearly explained, detailing the use of decision trees, the input data from report forms, and the process of how an inspector is alerted when a set limit is exceeded.",2,"The limitations are explicitly described, mentioning the quality of reports, the monitoring of algorithm outcomes, and the potential for adjusting risk indicators, as well as the annual publication of data breach reports and the use of knowledge from other supervisory tasks."
Readspeaker,1,"The goal is general, stating it supports users with visual impairment, but lacks specific context or policy objective.",2,"The logic is clearly explained, mentioning the use of a deep neural network (DNN) technology to improve voice quality, which is the process and model type.",0,"No limitations or risks are mentioned, 'not applicable' is stated in the risks field."
Signal benefit other municipality,2,"The goal is specific and contextualized, explaining that the system is used to identify overlap in welfare recipients across municipalities.",2,"The system's logic is clearly explained, detailing the process of data comparison, the criteria for issuing a concurrence signal, and the data processing flow.",1,The system mentions the risk of citizen privacy but does not provide specific details about the nature or context of this risk.
Study Financing and Social Assistance,2,"The goal is specific and contextualized, outlining the process of identifying residents who are receiving both study financing and social assistance, which is not allowed.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how data is exchanged between different agencies to identify overlap in benefits.",1,"The risks section mentions the concern of citizen privacy, but does not provide specific details about the nature or context of this risk."
Signal fugitive convicts,2,"The goal is specific and contextualized, aiming to prevent residents who are trying to escape their prison sentence or other custodial sentences from receiving benefits under the participation act and other laws.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how data is delivered, stored, and used to signal municipalities about potential benefit fraud.",1,"The risks section mentions citizen privacy as a concern and the use of privacy impact assessments, but does not specify the nature or context of these risks."
Educational outcomes models PO and VO,2,"The goal is specific and contextualized, stating that the model is used to monitor the quality of education and assess learning outcomes, taking into account the complexity of the pupil population.",2,"The logic is clearly explained, detailing the rule-based algorithm, the indicators calculated, the corrections made, and the standards used for assessment.",1,"The risks section mentions potential adjustments to the models based on yearly comparisons and societal changes, but does not explicitly describe known risks, data biases, or contexts of inaccuracy."
AI Language Model,1,"The goal is stated as improving operations and reducing manual work, but it lacks a specific policy objective or context.",2,"The process is clearly explained, detailing how different AI algorithms are used for transcription, report generation, translation, and text improvement.",0,"While data handling practices are mentioned, there is no mention of any limitations, risks, or potential biases in the system."
Sending outgoing communications in large volumes,2,"The goal is specific and contextualized with a clear policy objective: to automate the administrative task of creating a letter or mail in a case, reducing manual work for employees.",0,"The 'Methods and Models' field is blank, providing no explanation of how the system works.",2,"The risks are explicitly described: if the case is created incorrectly, it results in rectification work, and incorrect entries are corrected during further processing."
Replenishing files,2,"The goal is specific and contextualized, aiming to improve the administrative task of digital file registration for accuracy and timeliness for citizens and businesses.",0,No explanation of how the system works or the model used is provided.,2,"The risks are explicitly described, stating that incorrect data could be a problem, and the underlying cause is incorrect registration."
Reference estimate,2,"The goal is specific and contextualized, outlining the purpose of the reference forecast in substantiating the education budget, describing developments in education, and serving as input for other estimates.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how the age-dependent flow model works, how transition probabilities are derived and used, and how the estimate grows with the population.",1,"The risks section mentions the 4-eye check and the involvement of various committees and groups to avoid errors and seek advice, but it does not explicitly describe known risks, data biases, or contexts of inaccuracy."
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to support employees in anonymising documents for transparency and compliance with privacy legislation.",2,"The process is clearly explained, from the algorithm recognizing privacy-sensitive data, proposing anonymization, to the employee's evaluation and approval.",1,"A risk is mentioned, but it is vaguely described as 'minimal' without specifying its nature or context."
Price announcement algorithm,2,"The goal is specific and contextualized, aiming to counteract tacit or explicit alignment in price fixing among companies, and to promote fair competition and better prices for customers.",2,"The logic is clearly explained, detailing the use of a trained model to search messages for price announcements, and how it predicts a value between 0 and 1 to indicate the likelihood of a price announcement.",1,"A limitation is mentioned, stating that the algorithm's information is one of many sources used by the ACM and that inspectors always check its relevance and reliability, but it does not specify the nature or context of potential risks or biases."
Detection and monitoring algorithm Digital Economy,2,"The goal is specific and contextualized, outlining the purpose of the algorithm in supervising digital markets and the potential actions that can be taken based on its results.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how the tagging and topic modelling algorithms work and how the data is presented and used.",1,"The risks section mentions that the algorithm's information is checked for relevance and reliability and that the algorithm can be adjusted based on results and new insights, but it does not specify any particular risks or limitations."
Anonymise,2,"The goal is specific and contextualized, stating that the algorithm is used to anonymise privacy-sensitive information in information objects to protect personal information and preserve privacy.",1,"The method is mentioned as neural network models that determine privacy-sensitive information in both visual and textual ways, but the full process description is not provided.",2,"The risks are explicitly described, mentioning constant evaluation and updates to address new threats and privacy challenges, human oversight and intervention to correct errors, and continuous dialogue with stakeholders."
Readspeaker,2,"The goal is specific and contextualized, aiming to support visually impaired users and others with reading difficulties in the Netherlands by providing a reading aid on the municipality of Beekdaelen's website.",2,"The logic is clearly explained, stating that the software uses a deep neural network (DNN) technology to improve the quality of conversion to speech.",0,No risks or limitations are mentioned in the entry.
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, including the use of a natural language processing algorithm and proprietary AI models, and the datasets used for training.",2,"The limitations are explicitly described, including the risk of improper employee checks, privacy risks associated with using Azure, and measures taken to mitigate these risks."
Citizen affairs e-services,2,"The goal is specific and contextualized, outlining the purpose of the e-services and the algorithm to provide support to residents and entrepreneurs in submitting digital applications, and the subsequent process of checking and approval.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how a resident or entrepreneur can start an e-service, how applications are checked against laws and regulations, and how they are processed by a civil affairs employee or automatically by the system.",1,"The risks section mentions that the municipality configures e-services to take risks into account and avoid them, but it does not specify the nature or context of these risks."
Property valuation - residential property,2,"The goal is specific and contextualized, stating the purpose is to establish the most accurate woz value for calculating ozb tax in Capelle aan den Ijssel.",2,"The methods and models section provides a clear explanation of inputs (sales prices, comparable properties, size of property, renovations), process (comparison and calculation), and model type (valuation model).",0,No risks or limitations are mentioned in the entry.
Signal abuse and improper use DigiD: Possible unlawful use of DigiD,2,"The goal is specific and contextualized, with a clear policy objective of protecting DigiD users from abuse or improper use by quickly signalling potential misuse, which can then lead to further investigation and possible revocation, suspension, or blocking of the DigiD.",0,"The 'Methods and Models' field is blank, providing no explanation of how the system works.",2,"The risks are explicitly described, including the possibility of false positives (signals going off without actual abuse), the need for further investigation, and the potential consequences for users (revocation, suspension, or blocking of DigiD). The algorithm's evaluation process is also mentioned."
Municipal Fees Calculation,2,"The goal is specific and contextualized, explaining that the system is used to calculate fees for municipal services based on the municipality's fees ordinance.",2,"The system's logic is clearly explained, detailing the different calculation methods (fixed rate, percentage, scales, slices) and how they are applied based on the base type and fee type.",2,"The risks and limitations are explicitly described, including potential data security risks, the possibility of using the wrong basis for calculation, and the risk of system design not being up-to-date or correct, which could lead to incorrect fees being imposed."
iCitizenship e-services,2,"The goal is specific and contextualized, outlining the purpose of the e-services and the algorithm to provide support to residents and entrepreneurs in submitting digital applications, and the subsequent process of checking and approval.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how a resident or entrepreneur can start an e-service, how applications are checked against laws and regulations, and how they are processed by a civil affairs employee or automatically by the system.",1,The risks section mentions risk management but does not specify the nature or context of the risks or limitations.
Automatic remission,2,"The goal is specific and contextualized, with a clear policy objective of determining whether municipal debts may be automatically cancelled using various data.",2,"The process is clearly explained, including the use of income and assets data to review a citizen's eligibility for automatic remission annually.",2,The risk of using reference dates and the possibility of reality changing in the meantime is explicitly described.
Intelligent search in the BSN management facility,2,"The goal is specific and contextualized, detailing the purpose of the algorithm to maximize the quality of the search process in the BSN management service, and explaining the various services that require searching for the right person.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing different search methods, how diacritic transformation is performed, and how weighting factors are used.",1,"The risks section mentions regular consultation with users and an application management team dealing with questions, wishes, and malfunctions, but it does not explicitly describe known risks, data biases, or contexts of inaccuracy."
Anonymisation software DataMask,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, the use of machine learning and AI models, and the involvement of human checks.",2,"The risks and limitations are explicitly described, including the risk of employees not checking properly and the privacy risk when using Azure, along with the measures taken to mitigate these risks."
Taxation: WOZ valuation models,2,"The goal is specific and contextualized, stating that the algorithm is used to calculate the market value of immovable property under the WOZ act, with clear implications for stakeholders in terms of taxes.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how properties are compared and how parameters are set.",0,No risks or limitations are mentioned in the entry.
Fees Calculation,2,"The goal is specific and contextualized, explaining that the system is used to calculate fees for municipal services based on the municipality's fees ordinance.",2,"The system's logic is clearly explained, detailing the different calculation methods (fixed rate, percentage, scales, slices) and how they are applied based on the base type and fee type.",2,"The risks and limitations are explicitly described, including potential data security risks, the possibility of using the wrong basis for calculation, and the risk of system design not being up-to-date or correct, which could lead to incorrect fees being imposed."
iCitizenship e-services,2,"The goal is specific and contextualized, aiming to provide maximum support to residents and entrepreneurs when submitting a digital application, with clear policy objectives of efficiency and quality of service.",2,"The logic is clearly explained, detailing the process of how a resident or entrepreneur can start an e-service, how the application is checked against laws and regulations, and how it is processed by a civil affairs employee or automatically by the system.",1,"A limitation is vaguely mentioned, stating that it is up to municipalities to shape risk management and configure e-services, but does not specify the nature or context of the risks."
Zivver,2,"The goal is specific and contextualized, with a clear policy objective of ensuring that information sent by email is properly secured.",2,"The logic is clearly explained, with a detailed description of the inputs, process, and model type used to classify emails as sensitive or not.",1,"The risks are mentioned, but they are vague and do not specify the nature or context of the risks, only that incorrect classifications can be adjusted."
SmartLockr,2,"The goal is specific and contextualized, with a clear policy objective of ensuring that information sent by email is properly secured.",2,"The logic is clearly explained, with inputs (terms in the message and attachments), process (comparison with previously sent emails and classification based on terminology), and model type (classification algorithm) all described.",1,"The risks are mentioned, but they are vague and do not specify the nature or context of the risks, only that incorrect classifications can be adjusted."
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, including the use of a natural language processing algorithm and proprietary AI models, and the involvement of human checks.",2,"The limitations are explicitly described, including the risk of improper employee checks, the privacy risk of using Azure, and measures taken to mitigate these risks."
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, the use of a natural language processing algorithm and AI models, and the final manual check by a staff member.",2,"The limitations are explicitly described, including the risk of improper employee checks, privacy risks associated with using Azure, and measures taken to mitigate these risks."
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, including the use of a natural language processing algorithm and proprietary AI models, and the involvement of a staff member for final checks.",2,"The limitations are explicitly described, including the risk of improper employee checks, the privacy risk of using Azure, and measures taken to mitigate these risks."
Civil affairs: eServices,2,"The goal is specific and contextualized, explaining the importance of correct address registration and how the algorithm checks details and processes applications.",1,"The method used is mentioned (decision trees), but there is no clear explanation of inputs or the full process.",0,No limitations or risks are mentioned.
Decline in value 'Who qualifies?',2,"The goal is specific and contextualized, explaining the purpose of the three algorithms in assessing a valuation application and the conditions under which an application is rejected.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type for each of the three algorithms used.",1,"The risks section mentions an evaluation of risks and potential adjustments, but does not specify the nature or context of these risks."
Calculation method Decline in value,2,"The goal is specific and contextualized, with a clear policy objective of calculating the amount of compensation for a property's depreciation allowance.",2,"The logic is clearly explained, with inputs (property's woz value, location, quake history), process (classification into severity categories, calculation based on matrices), and model type (severity category matrix and a compensation matrix) all detailed.",1,"A risk evaluation process is mentioned, but no specific risks or limitations of the algorithm are described."
iCitizenship e-services,2,"The goal is specific and contextualized, outlining the purpose of the e-services and the algorithm to provide support to residents and entrepreneurs in submitting digital applications, and the subsequent process of checking and approval.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how a resident or entrepreneur can start an e-service, how the application is checked against laws and regulations, and how it is processed by a civil affairs employee or automatically.",1,"The risks section mentions risk management but does not specify the nature or context of the risks, stating only that it is up to municipalities to shape risk management and configure e-services accordingly."
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, including the use of a natural language processing algorithm and machine learning models, and the role of human oversight.",2,"The limitations are explicitly described, including the risk of improper employee checks, the privacy risk of using Azure, and measures taken to mitigate these risks."
iCitizenship e-services,2,"The goal is specific and contextualized, outlining the process of providing support to residents and entrepreneurs in submitting digital applications, and how the algorithm aids in this process.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how the e-service application is checked against laws and regulations, and how it is processed by a civil affairs employee or automatically by the system.",1,The risks section mentions risk management but does not specify the nature or context of the risks or limitations.
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to support in the review process where legal protection applies to information disclosed, particularly in relation to AVG (persons) and WOO legislation.",2,"The logic is clearly explained, stating that texts are recognized using named entity recognition (NER) and a process within Insights extracts the names for further processing towards the management interface and the automatic lacquer rules.",1,"The limitations are vaguely mentioned, stating that there is no risk of automated decision-making and the algorithm has no impact on fundamental rights because it only makes a proposal for anonymising personal data, but does not specify the nature or context of these limitations."
Zivver,2,"The goal is specific and contextualized, with a clear policy objective of ensuring that information sent by email is properly secured.",2,"The logic is clearly explained, with inputs (terms in the message and attachments), process (comparison with previously sent emails and classification based on terminology), and model type (classification algorithm) all described.",1,"The risks are mentioned, but they are vague and do not specify the nature or context of the risks, only that incorrect classifications can be adjusted."
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, the use of a natural language processing algorithm, and the involvement of a staff member for final checks.",2,"The limitations are explicitly described, including the risk of improper employee checks, the privacy risk of using Azure, and measures taken to mitigate these risks."
Zivver,2,"The goal is specific and contextualized, with a clear policy objective of ensuring that information sent by email is properly secured.",2,"The process is clearly explained, including the inputs (terms in the message and attachments), the process (comparing the email to previously sent emails), and the model type (classification based on similarity and terminology).",1,"The risks are mentioned, specifically the possibility of incorrect classifications, but the nature or context of these risks is not explicitly described."
Zivver,2,"The goal is specific and contextualized, with a clear policy objective of ensuring that information sent by email is properly secured.",2,"The logic is clearly explained, with details on the inputs (terms in the message and attachments), process (comparison with previously sent emails), and model type (classification based on similarity and terminology).",1,"The risks are mentioned, but they are vague and do not specify the nature or context of the risks, only that incorrect classifications can be adjusted."
Octobox Anonymisation,2,"The goal is specific and contextualized, stating that Octobox Anonymisation helps the ministry process information requests faster to meet statutory processing deadlines, with the impact of the algorithm being low and requiring human verification.",2,"The logic is clearly explained, detailing the use of Spacy's open source natural language processing, named entity recognition, the open source library YOLO for signature recognition, and optical character recognition to detect sensitive data. The algorithm's output and learning process are also described.",1,"The risks section mentions that the algorithm poses no additional risks and improves an existing process, but it does not specify any potential limitations or contexts of inaccuracy."
Game-based assessment (GBA) in selection of government-wide traineeships,2,"The goal is specific and contextualized, outlining the purpose of the GBA to make an objective selection decision and ensure equality in the selection process, with sub-goals further detailing the intended outcomes.",2,"The logic is clearly explained, detailing the rule-based algorithm, the data it uses, how the test is conducted, and how the results are calculated and retrieved.",1,"The risks section mentions annual reviews of the GBA's effectiveness and information provision, and the need for separate IAMAs for each use, but does not explicitly describe known risks, data biases, or contexts of inaccuracy."
DIAfragma,2,"The goal is specific and contextualized, aiming to proactively approach potential beneficiaries of low-income assistance schemes using a dataset called the diafragma.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing the various internal and external sources of data used, how the data is loaded and monitored, and how it is used to create an up-to-date customer view.",2,"The risks section explicitly describes known risks such as faulty data and data selection error, and provides mitigation measures for these risks. It also mentions the potential for inappropriate allocation of schemes due to storing personal data for too long, and the risks associated with large scale data processing, combining datasets, research purposes, sensitive data, vulnerable groups, and automated decisions."
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to balance transparency and protection of individuals and companies in document handling.",0,No explanation of how the system works or the process it uses is provided.,2,"The risks are explicitly described, stating that the software only proposes anonymization and the final check is done by a municipality employee."
Public space reports,2,The goal is clearly stated with a specific context and policy objective: to improve the efficiency of municipal response to public space reports by automatically categorizing them.,2,"The logic is well explained, detailing the inputs (words from the report), the process (TF-IDF and regression), and the model type (machine learning).",2,"The limitations are explicitly described, including the risk of misclassification and the subsequent delay in processing, as well as the secure handling of personal data."
